Latitude|Longitude|Temperature|Humidity|Pressure|Wind_Speed|Precipitation|Stability_Index|Front_Type|Time_of_Day|Season|Cloud_Cover|Solar_Radiation|Land_Use_Type|Elevation|Urban_Density|Soil_Type|Thunderstorm_Probability
36.3943|-118.7495|16.9|43.4|1016.8|13.5|44.61|11.7|Warm Front|Morning|Spring|9.4|493.1|Rural|56.6|Low|Clay|0.65
35.4494|-108.978|24.7|78.6|980.3|16.1|34.91|16.8|Cold Front|Morning|Fall|10.2|552.0|Suburban|261.9|High|Sandy|0.81
37.2973|-93.1886|34.3|52.7|1007.6|16.6|30.93|27.2|No Front|Morning|Spring|4.6|491.2|Suburban|296.3|Low|Loam|0.38
34.5341|-78.2945|14.1|51.3|1013.5|14.0|34.18|11.4|No Front|Morning|Summer|16.3|551.8|Rural|222.0|Low|Clay|0.32
37.6831|-117.2031|30.5|78.3|1000.1|1.3|45.66|21.3|No Front|Afternoon|Summer|65.5|558.3|Rural|164.7|Medium|Loam|0.25
35.6137|-106.8629|24.6|83.9|1000.0|4.4|49.88|20.2|Cold Front|Morning|Spring|15.3|464.0|Rural|155.5|Low|Sandy|0.38
39.9612|-93.5443|34.3|81.6|980.6|14.4|34.09|20.7|Warm Front|Evening|Fall|11.2|573.9|Suburban|50.8|High|Clay|0.26
35.0059|-111.0674|32.8|82.2|994.9|12.8|30.45|13.1|Cold Front|Evening|Spring|59.9|595.4|Urban|282.3|Medium|Loam|0.06
38.7801|-72.6525|12.1|59.2|983.5|15.2|38.29|12.6|Warm Front|Evening|Summer|26.5|749.0|Suburban|291.1|High|Clay|0.69
37.1295|-100.0504|26.8|52.4|1025.0|9.0|12.4|11.3|Cold Front|Evening|Summer|58.8|402.9|Rural|207.8|Low|Loam|0.91
38.5964|-116.4571|16.0|70.1|990.7|2.6|46.78|21.4|Warm Front|Morning|Winter|80.7|476.2|Urban|214.7|Medium|Sandy|0.41
38.6384|-117.2914|26.3|68.8|983.0|14.6|40.03|12.2|Cold Front|Morning|Winter|14.0|473.4|Suburban|112.5|Low|Sandy|0.81
